Sad_Status,count,mean,std,min,25%,50%,75%,max
悲傷,3842.0,65.7988823879411,27.357873467086893,3.72e-09,46.4236960225,71.288351905,90.2265744575,99.91518931
非悲傷,9060.0,64.41697902697152,27.568365356761287,1.93e-07,44.4773920675,69.77678882,89.08334673,99.93921341
